"","ngram","1810","1820","1830","1840","1850","1860","1870","1880","1890","1900","1910"
"76","4—",0,0,0,0,0,0,0,8,0,0,0
"77","40",0,0,0,0,0,0,2,0,0,0,0
"78","41",0,0,0,0,0,0,0,2,0,0,0
"79","41»",0,0,0,0,0,0,0,2,0,0,0
"80","425",0,0,0,0,0,0,0,8,0,0,0
"81","475",0,0,0,0,0,0,0,2,0,0,0
"82","5",0,0,0,0,0,0,2,23,40,29,18
"83","5—",0,0,0,0,0,0,2,2,0,0,0
"84","51",0,0,0,0,0,0,0,5,0,2,0
"85","512",0,0,0,0,0,0,0,0,3,0,0
"86","520",0,0,0,0,0,0,0,0,3,0,0
"87","550",0,0,0,0,0,0,3,0,0,0,0
"88","57",0,0,0,0,2,0,0,0,0,0,2
"89","58",0,0,0,2,0,0,0,0,0,0,0
"90","590",0,0,0,0,0,0,0,0,2,0,0
"91","5a",0,0,0,0,0,0,0,0,2,0,0
"92","5y3",0,0,0,0,0,0,0,0,2,0,0
"93","6",0,0,0,0,0,368,0,31,2,9,4
"94","6129",0,0,0,0,0,0,0,2,0,0,0
"95","650",0,0,0,0,0,0,4,0,0,0,0
"96","675",0,0,0,0,0,0,2,0,0,0,0
"97","7—",0,0,0,0,0,0,4,0,0,0,0
"98","70",0,0,0,0,0,58,5,38,0,0,0
"99","71",0,0,0,0,0,0,2,0,0,0,0
"100","750",0,0,0,0,0,4,2,0,0,0,0
"101","775",0,0,0,0,0,0,6,0,0,0,0
"102","780",0,0,0,0,0,0,2,0,0,0,0
"103","8",0,0,0,0,14,34,0,192,116,0,2
"104","8»",0,0,0,0,0,0,0,3,0,0,0
"105","81",0,0,0,0,0,0,0,7,0,0,0
"106","87",0,0,0,0,0,0,0,11,0,0,0
"107","a",0,0,0,2,0,0,2,188,167,0,0
"108","a°",0,0,0,0,0,0,18,0,0,0,0
"109","aaken",0,0,0,0,0,0,0,0,2,0,5
"110","aan",0,0,2,8,2,0,0,2,0,0,2
"111","aanbiedingen",0,0,0,0,0,0,10,0,0,2,0
"112","aanbod",0,0,0,0,0,0,0,2,0,8,0
"113","aand",0,0,0,0,0,0,0,2,0,0,0
"114","aande",0,0,0,2,0,0,0,0,0,0,0
"115","aandeden",0,0,0,0,0,0,0,0,0,0,2
"116","aandeelen",0,0,0,0,0,0,0,0,4,58,14
"117","aandeelhouders",0,0,0,0,0,2,2,0,5,8,5
"118","aangeboden",0,0,0,0,0,0,8,2,2,0,0
"119","aangelegenbeden",0,0,3,0,0,0,0,0,0,0,0
"120","aangelegenheden",0,47,495,340,643,1463,455,359,348,297,185
"121","aangelegenhednn",0,0,0,0,0,0,0,0,1,0,0
"122","aangelegenheid",0,0,0,2,0,2,2,0,0,0,0
"123","aangever",0,0,0,0,0,0,0,0,1,0,0
"124","aanknopen",0,0,0,0,0,0,0,0,0,2,0
"125","aankoo",0,0,0,0,0,0,0,0,0,0,2
"126","aankoopen",0,0,0,0,0,0,3,0,24,493,316
"127","aankoopén",0,0,0,0,0,0,0,0,0,2,2
"128","aannemers",0,0,0,0,0,0,9,72,18,0,0
"129","aansluiting",0,0,0,0,0,0,0,0,0,2,0
"130","aansluitingen",0,0,0,0,0,0,0,2,9,0,0
"131","aanvallen",0,0,0,0,0,2,0,0,0,0,0
"132","aanvoer",0,0,0,0,0,0,2,2,0,0,0
"133","aanvoeren",0,0,0,9,0,174,16,0,0,0,0
"134","aanvrage",0,0,0,0,0,0,0,0,0,0,5
"135","aardappelen",0,0,0,0,0,4,0,0,0,0,0
"136","académiciens",0,0,0,0,0,0,0,0,1,0,0
"137","academie",0,0,0,0,12,0,0,0,0,0,0
"138","academies",0,0,0,0,0,0,0,0,0,0,4
"139","achter",0,0,0,0,0,0,2,0,0,0,0
"140","achtereenvolgens",0,0,0,0,0,0,0,0,0,0,2
"141","achterstaan",0,0,0,0,0,0,0,0,1,0,0
"142","achterstaande",0,0,0,0,0,0,0,0,1,0,0
"143","actie",0,0,0,0,0,5,0,0,0,0,0
"144","actiën",0,0,0,0,0,2,0,2,0,0,0
"145","actionarissen",0,0,0,0,0,2,0,0,0,0,0
"146","active",0,0,0,0,4,0,0,0,0,0,0
"147","administratieve",0,0,0,2,0,0,0,0,0,0,0
"148","admiraals",0,0,0,0,0,0,0,0,4,0,0
"149","adressen",0,0,0,0,0,0,0,0,0,2,0
"150","adviseurs",0,0,0,0,0,0,0,0,0,2,4
"151","advocaten",0,0,0,0,0,0,0,2,0,0,0
"152","aen",0,0,0,0,0,0,0,0,1,0,0
"153","afd",0,0,0,0,0,0,0,0,1,0,0
"154","afdeeling",0,0,0,0,0,0,4,0,2,4,8
"155","afdeelingen",0,0,0,0,0,0,14,0,10,6,3
"156","afgekeurde",0,0,0,0,0,0,2,0,0,0,0
"157","afgevaardigden",0,0,0,0,0,2,3,0,20,52,53
"158","afgezanten",2,0,0,0,0,0,0,0,0,0,0
"159","afgunst",0,0,0,2,0,0,0,0,0,0,0
"160","afhangt",0,0,0,0,0,0,0,0,0,2,0
"161","afkomst",0,0,0,0,16,12,0,0,4,0,0
"162","afladers",0,0,0,0,0,7,0,0,0,0,0
"163","afnemers",0,0,0,0,0,0,0,0,10,14,22
"164","afrekeningen",0,0,0,0,0,0,0,0,27,35,11
"165","afzet",0,0,0,0,0,0,0,0,0,2,0
"166","agent",0,0,0,0,0,0,0,0,0,0,3
"167","agenten",0,0,2,0,13,20,2,0,13,4,8
"168","agentschappen",0,0,0,0,0,0,2,0,0,0,0
"169","agenturen",0,0,0,0,0,0,0,2,2,2,0
"170","agitatie",0,0,0,0,0,0,0,0,1,3,0
"171","agitatoren",0,0,0,0,0,0,0,0,1,0,0
"172","akademie",0,0,0,0,2,0,0,0,0,0,0
"173","akademiën",0,0,0,0,0,0,0,0,0,0,2
"174","aken",0,0,4,10,16,31,10,13,26,57,35
"175","akte",0,0,0,0,0,0,0,0,2,0,0
"176","akten",4,0,0,0,0,0,0,0,0,0,0
"177","al»",0,0,0,0,0,0,2,0,0,0,0
"178","algemeen",0,0,0,0,0,26,47,2,0,0,0
"179","alleen",0,0,0,0,0,0,0,0,1,0,0
"180","alliantiën",0,0,0,0,0,2,0,0,0,0,0
"181","alpenvereenigingen",0,0,0,0,0,0,0,0,0,2,0
"182","als",0,0,11,13,21,27,59,61,9,14,12
"183","althans",0,0,0,0,0,0,2,0,0,0,0
"184","amateurs",0,0,0,0,0,0,0,0,0,0,2
"185","ambasfadeurs",0,2,0,0,0,0,0,0,0,0,0
"186","ambassade",0,0,0,0,0,0,0,0,2,0,0
"187","ambassades",0,0,0,0,0,0,0,0,0,2,0
"188","ambassadeurs",2,0,0,0,0,2,2,0,2,0,0
"189","ambtenaren",0,0,0,0,0,0,0,2,2,2,9
"190","ambtgenooten",0,0,0,0,0,0,0,0,0,0,3
"191","ambulances",0,0,0,0,0,0,0,0,0,0,4
"192","anarchist",0,0,0,0,0,0,0,0,2,0,0
"193","anarchisten",0,0,0,0,0,0,0,0,52,7,9
"194","anonieme",0,0,0,0,4,0,0,0,0,0,0
"195","ansjovis",0,0,0,0,0,0,0,0,0,2,0
"196","anthropologische",0,0,0,0,0,0,0,0,2,0,0
"197","antilisme",0,0,0,0,0,0,0,0,0,0,3
"198","arbeiders",0,0,0,2,0,0,0,4,9,38,9
"199","arbeidersverecnigingen",0,0,0,0,0,0,0,0,1,0,0
"200","arbitrage",0,0,0,0,0,0,2,0,0,49,8
"201","arbitragehuizen",0,0,0,0,0,0,0,0,0,2,0
"202","arbitrageurs",0,0,0,0,0,0,0,0,0,4,0
"203","archieven",0,0,0,0,0,0,8,7,0,0,0
"204","architecten",0,0,0,0,0,0,2,2,0,16,4
"205","argent",0,0,0,0,0,0,0,0,0,2,0
"206","aristocraat",0,0,0,0,0,0,0,0,1,0,0
"207","armeniers",0,0,0,0,0,0,0,0,2,0,0
"208","artikel",0,0,0,0,0,0,0,2,0,0,0
"209","artikelen",0,2,19,2,4,85,4,12,10,22,26
"210","artilleristen",0,0,0,0,0,0,0,0,0,2,0
"211","artisten",0,0,0,0,0,0,4,4,11,14,4
"212","artsen",0,0,0,0,0,0,5,2,25,0,2
"213","assuradeuren",0,0,0,0,0,0,0,0,2,2,0
"214","assuradeurs",0,0,0,0,0,0,2,0,0,0,0
"215","assurantiemaatschappijen",0,0,0,0,0,0,2,2,2,2,0
"216","attachés",0,0,0,0,0,0,0,0,0,2,0
"217","atudenten",0,0,0,0,0,0,0,0,0,0,2
"218","auteurs",0,0,0,0,0,0,0,0,1,6,21
"219","automobilisten",0,0,0,0,0,0,0,0,0,2,0
"220","autoriteit",0,0,0,0,0,0,0,0,3,0,0
"221","autoriteiten",0,0,0,0,0,0,0,2,5,9,2
"222","avonturen",0,0,0,0,0,0,0,2,0,2,2
"223","azijnen",4,0,0,0,0,0,0,0,0,0,0
"224","b",0,0,0,0,0,0,0,6,15,0,0
"225","badplaats",0,0,0,0,0,0,0,0,4,0,4
"226","badplaatsen",0,0,0,0,0,0,0,0,0,2,3
"227","bajonetten",0,0,0,0,2,5,0,0,0,0,0
"228","baken",0,0,0,0,0,0,0,0,0,2,2
"229","baksteenen",0,0,0,0,0,0,0,2,0,0,0
"230","bandel",0,0,0,0,0,0,0,0,0,4,0
"231","bandelaars",0,0,0,0,0,0,0,0,1,0,0
"232","banen",0,0,0,0,0,0,0,0,1,0,10
"233","bank",0,0,0,0,0,0,0,0,0,92,27
"234","bank¦",0,0,0,0,0,0,0,0,0,2,0
"235","bank•",0,0,0,0,0,0,0,0,0,69,36
"236","bankaand",0,0,0,0,0,0,0,0,0,2,0
"237","bankaandeelen",0,0,0,0,0,0,0,0,0,4,0
"238","bankbiljetten",0,0,0,0,0,0,0,360,292,0,0
"239","bankdisconto",0,0,0,0,0,0,0,0,0,22,4
"240","banken",0,0,0,2,0,0,0,0,28,41,52
"241","bankiers",0,0,4,0,0,19,8,11,17,7,4
"242","bankiershuizen",0,0,0,0,4,0,2,0,1,0,0
"243","bankiersliuizen",0,0,0,0,0,0,0,0,1,0,0
"244","bankinstellingen",0,0,0,0,0,0,0,0,6,0,4
"245","banknoten",0,0,0,0,8,0,0,0,0,0,0
"246","bankvereenig",0,0,0,0,0,0,0,0,0,2,0
"247","bankvereeniging",0,0,0,0,0,0,0,0,4,370,318
"248","bankvèreeniging",0,0,0,0,0,0,0,0,0,2,0
"249","bankvereenigmg",0,0,0,0,0,0,0,0,0,2,0
"250","bankvereeniyiny",0,0,0,0,0,0,0,0,0,0,2
"251","bankveremiging",0,0,0,0,0,0,0,0,0,2,0
"252","bankverg",0,0,0,0,0,0,0,0,0,0,2
"253","barbaren",0,0,0,0,4,0,0,0,0,0,0
"254","baron",0,0,0,0,0,0,0,0,0,0,2
"255","bascules",0,0,0,0,0,0,2,0,0,0,0
"256","basterd",0,0,0,0,0,0,0,5,0,0,0
"257","basterden",0,0,0,0,0,0,0,2,0,0,0
"258","basterdsuiker",0,0,0,0,0,0,0,26,26,0,2
"259","baukiershuizen",0,0,0,0,0,0,0,0,1,0,0
"260","bavens",0,0,0,0,2,0,0,0,13,18,0
"261","bavisten",0,0,0,4,0,0,0,0,0,0,0
"262","be",0,0,0,0,0,0,2,0,0,0,0
"263","beambten",0,0,0,0,0,0,0,0,0,0,4
"264","becrekkingen",0,0,0,2,0,0,0,0,0,0,0
"265","bedong",0,0,0,0,0,2,0,0,0,0,0
"266","beeigten",0,0,0,0,4,0,0,0,0,0,0
"267","beetwortelen",0,0,0,0,0,0,0,0,1,0,0
"268","beetwortelsuiker",0,0,0,0,0,0,0,7,0,0,0
"269","beetwortelsuikerfabricage",0,0,0,0,0,0,0,2,0,0,0
"270","begrooting",0,0,0,0,0,0,0,0,0,4,0
"271","begunstigers",0,0,2,0,0,0,0,0,0,0,0
"272","behalve",0,0,0,0,2,0,0,2,0,0,0
"273","behoeft",0,0,0,0,0,0,0,0,2,0,0
"274","behoefte",0,0,0,2,4,0,2,4,0,0,0
"275","behoeftige",0,0,0,0,0,0,0,0,1,0,0
"276","behooren",0,0,0,0,0,0,0,0,1,0,0
"277","beirekkingen",0,0,3,0,0,0,0,0,0,0,0
"278","beiugten",0,0,0,0,4,0,0,0,0,0,0
"279","belangen",0,3,16,28,6,22,7,2,3,5,8
"280","belanghebbenden",0,0,0,0,0,0,0,0,0,4,20
"281","belangstelling",0,0,0,0,0,0,0,0,7,21,2
"282","beleggingen",0,0,0,0,0,0,0,0,0,2,0
"283","beleggingsfondsen",0,0,0,0,0,0,0,0,4,0,2
"284","beleggingssoorten",0,0,0,0,0,0,0,0,0,0,4
"285","beleggingswaarden",0,0,0,0,0,0,0,4,6,0,0
"286","beleid",0,0,0,0,0,64,0,0,0,0,0
"287","belichten",0,0,0,0,0,0,0,0,0,6,0
"288","belrekkingen",0,6,4,2,0,0,0,0,0,0,0
"289","bemgten",0,0,0,0,0,2,0,0,0,0,0
"290","bemiddeling",0,0,0,0,0,4,0,0,1,0,0
"291","bemoeiing",0,0,0,0,0,0,0,0,1,0,0
"292","bemoeiingen",0,0,0,0,0,0,2,0,0,0,0
"293","bende",0,0,0,0,0,0,0,0,2,0,0
"294","benden",0,0,0,0,0,2,0,0,0,0,0
"295","bepaald",0,0,0,0,0,0,0,0,1,0,0
"296","bepaalde",0,0,0,0,0,0,3,0,0,0,0
"297","berchten",0,0,0,0,0,0,0,0,9,0,0
"298","berghten",0,0,0,0,0,8,0,0,0,0,0
"299","bergten",8,0,0,2,0,2,0,0,0,0,0
"300","berichen",0,0,0,0,0,0,0,0,0,6,0
"301","bericht",0,0,0,0,0,0,2,0,0,0,0
"302","berichte",0,0,0,0,0,2,0,0,2,0,0
"303","berichten",0,0,15,29,15,50,158,360,6278,8214,2944
"304","berichtenrubriek",0,0,0,0,0,0,0,0,0,2,0
"305","berichtgevers",0,0,0,0,0,0,0,0,2,0,0
"306","bericliten",0,0,0,0,0,0,0,0,3,0,0
"307","bericten",0,0,0,0,6,11,0,0,0,0,0
"308","berigen",0,0,0,2,0,4,0,0,0,0,0
"309","berigeten",0,0,0,7,0,0,0,0,0,0,0
"310","berigien",0,0,0,0,12,0,9,0,0,0,0
"311","beriglen",0,0,0,6,0,0,0,0,0,0,0
"312","berigte",0,0,0,0,0,0,2,0,0,0,0
"313","berigtejn",0,0,0,3,0,0,0,0,0,0,0
"314","berigten",1493,2968,3628,6827,9936,9535,2312,3,0,0,0
"315","berigtén",0,3,0,0,0,0,0,0,0,0,0
"316","berigtën",0,0,0,0,2,0,0,0,0,0,0
"317","berïgten",0,0,0,0,2,0,0,0,0,0,0
"318","berigtgevers",0,0,0,0,0,4,0,0,0,0,0
"319","berigtne",0,0,5,0,0,0,0,0,0,0,0
"320","berigtten",0,0,0,0,11,0,0,0,0,0,0
"321","berihten",0,0,0,0,0,2,0,0,0,0,0
"322","beringten",0,0,0,0,3,0,0,0,0,0,0
"323","beriohten",0,0,0,0,0,0,0,0,0,2,0
"324","berioten",0,0,0,0,0,7,0,0,0,0,0
"325","beriten",0,0,0,2,2,2,0,0,0,0,0
"326","beritgten",0,0,0,4,0,0,0,0,0,0,0
"327","beritten",0,0,0,0,2,0,0,0,0,0,0
"328","bersten",0,0,0,0,0,2,0,0,0,0,0
"329","bertgten",0,0,0,0,0,2,0,0,0,0,0
"330","berusberigten",0,0,0,0,6,0,0,0,0,0,0
"331","beruzen",0,0,0,0,0,21,0,0,0,0,0
"332","beschavingsvormen",0,0,0,0,0,0,0,0,1,0,0
"333","bescheiden",0,0,0,0,0,0,0,0,3,0,0
"334","beschermers",0,0,2,0,0,0,0,0,0,0,0
"335","bescherming",0,0,0,0,0,4,0,0,0,2,0
"336","besigten",0,0,0,0,0,2,0,0,0,0,0
"337","bestellingen",0,0,0,2,0,0,0,0,0,0,0
"338","bestemming",0,0,0,0,0,0,0,0,0,2,0
"339","bestond",0,0,0,0,26,2,0,0,0,0,0
"340","besturen",0,0,0,0,2,0,0,0,0,0,0
"341","betaalmiddelen",0,0,0,0,0,0,0,0,0,0,7
"342","betalingsmiddelen",0,0,0,0,0,0,0,0,0,0,5
"343","beter",0,0,0,0,3,0,0,0,0,0,0
"344","betichten",0,0,0,0,0,0,0,0,0,2,0
"345","betreft",0,0,0,0,0,0,0,0,1,0,0
"346","betrehangen",0,0,0,0,0,0,0,0,1,0,0
"347","betrekking",0,0,2,0,0,0,0,0,0,0,0
"348","betrekkingen",26,147,322,199,92,318,130,151,227,239,102
"349","betristen",0,0,0,4,0,0,0,0,0,0,0
"350","betrof",0,0,0,0,0,9,0,0,0,0,0
"351","beubzen",0,0,0,0,2,7,0,0,0,0,0
"352","beuezen",0,0,0,0,0,21,0,0,0,0,0
"353","beuigten",0,0,0,2,2,0,0,0,0,0,0
"354","beukzen",0,0,0,0,0,4,0,0,0,0,0
"355","beuren",0,0,0,0,0,0,0,0,0,0,2
"356","beurigten",0,0,0,0,0,7,0,0,0,0,0
"357","beurs",0,0,0,0,0,0,2,0,0,0,0
"358","beursberichten",0,0,0,0,5,0,0,0,2,0,0
"359","beursberighten",0,0,0,0,2,0,0,0,0,0,0
"360","beursberiglen",0,0,0,0,2,0,0,0,0,0,0
"361","beursberigten",0,0,0,0,1707,1116,0,0,0,0,0
"362","beursen",0,0,0,0,0,0,2,2,1,3,5
"363","beursnote",0,0,0,0,0,3,0,0,0,0,0
"364","beursnoteeringen",0,0,0,0,0,0,0,0,0,0,49
"365","beursnoteringen",0,0,0,0,2,4,0,0,0,0,0
"366","beurszen",0,0,0,0,0,0,0,0,0,0,2
"367","beurt",10,0,0,0,0,0,0,0,0,0,0
"368","beurze",0,0,0,0,0,2,0,0,0,0,0
"369","beurzen",0,0,573,20,2600,2656,1176,64,127,260,792
"370","beurzes",0,0,0,0,4,0,0,0,0,0,0
"371","beurzon",0,0,0,0,0,0,0,0,0,0,2
"372","beuszen",0,0,0,0,0,6,0,0,0,0,0
"373","beuuzen",0,0,0,0,0,7,0,0,0,0,0
"374","bevigten",0,0,0,24,0,0,0,0,0,0,0
"375","bevolking",0,0,0,0,0,0,0,0,2,0,0
"376","bewogen",0,0,0,0,0,0,0,2,0,0,0
"377","bewoners",0,0,0,0,0,0,0,0,2,0,0
"378","bezetting",0,0,0,0,0,2,0,0,0,0,0
"379","bezitters",0,0,0,0,0,0,2,0,0,0,0
"380","bezittingen",7,10,21,63,40,28,11,9,23,7,5
"381","bezoeken",0,0,0,0,0,0,0,0,0,0,2
"382","bezoekers",0,0,0,0,2,6,0,4,3,2,4
"383","bi",0,0,0,0,0,0,0,3,0,0,0
"384","bibliografie",0,0,0,0,0,0,0,0,1,0,0
"385","bibliotheek",0,0,0,0,0,0,0,0,0,2,0
"386","bibliotheken",0,0,0,0,0,0,0,0,0,2,0
"387","bieren",13,2,0,0,0,2,0,5,2,2,0
"388","biersoorten",0,0,0,0,0,0,0,0,0,6,0
"389","bij",0,0,0,0,2,6,14,2,14,0,4
"390","bijbelgenootschap",0,6,0,0,4,0,2,2,0,4,0
"391","bijna",0,0,0,0,4,0,0,0,0,0,0
"392","biljetten",0,0,0,0,0,0,0,0,0,0,8
"393","binnen",0,0,0,0,0,0,0,46,0,0,0
"394","binnenl",0,0,0,0,0,0,0,19,0,0,0
"395","binnenlandsch»",0,0,0,0,0,0,0,2,0,0,0
"396","binnenlandsche",0,0,0,0,0,3,0,95,0,0,0
"397","birigten",0,0,0,0,6,0,0,0,0,0,0
"398","bisschoppen",0,0,0,0,0,0,6,2,2,3,0
"399","blad",0,0,0,0,0,0,0,0,0,2,0
"400","bladen",0,2,26,34,212,745,807,706,1163,1855,922
"401","blanke",0,0,0,0,0,0,0,4,0,0,0
"402","blauw",0,0,0,0,0,0,0,0,1,0,0
"403","bleef",0,0,0,0,0,0,7,0,2,0,0
"404","bleven",0,0,0,0,0,0,2,0,1,0,0
"405","blijft",0,0,0,0,0,0,0,13,0,0,0
"406","blijven",0,0,0,0,0,2,3,0,0,0,0
"407","bloem",0,0,0,0,0,0,0,0,1,4,0
"408","bloembollenhandel",0,0,0,0,0,0,0,0,0,3,0
"409","bloemkweekers",0,0,0,0,0,0,0,0,2,0,0
"410","boeken",0,0,2,2,0,0,0,2,0,0,14
"411","boekweit",0,0,0,0,2,0,0,0,0,0,0
"412","boekwerken",0,0,0,0,0,0,0,0,0,0,2
"413","bogge",0,0,0,0,0,0,0,4,12,5,0
"414","bond",0,0,0,0,0,0,0,2,0,0,0
"415","bonden",0,0,0,0,0,0,0,0,16,4,10
"416","boter",0,0,0,0,0,0,18,2,10,13,4
"417","bouwmaterialen",0,0,0,0,0,0,0,0,0,2,0
"418","bouwstoffen",0,0,0,0,0,0,0,2,0,0,0
"419","boven",0,0,0,0,0,0,0,2,0,0,0
"420","brandewijn",7,0,2,0,0,0,0,0,0,0,0
"421","brandstoffen",0,0,0,0,0,0,0,3,0,0,0
"422","brazilië",0,0,0,2,0,0,0,0,0,0,0
"423","bretagne",0,0,0,0,0,0,0,0,2,0,0
"424","brichten",0,0,0,13,0,0,0,0,0,0,0
"425","briechten",0,0,0,0,0,0,0,0,3,0,0
"426","brief",0,0,0,0,0,0,2,0,1,0,0
"427","briefkaart",0,0,0,0,0,0,0,0,1,0,0
"428","briefkaarten",0,0,0,0,0,0,2,4,14,2,0
"429","briefwisseling",0,0,0,2,18,6,0,0,0,0,0
"430","brieven",0,0,0,0,27,18,41,2,3,2,7
"431","brievenmalen",0,0,0,0,0,0,0,8,1,2,0
"432","brigten",0,0,0,5,0,0,0,0,0,0,0
"433","briquetten",0,0,0,0,0,0,0,2,0,0,0
"434","briquettes",0,0,0,0,0,0,0,0,2,0,0
"435","britsche",0,8,0,0,0,0,0,0,0,0,0
"436","bronnen",0,0,0,0,0,0,0,0,0,4,0
"437","brooden",0,0,0,0,0,0,0,56,0,0,0
"438","broodmeel",0,0,0,0,0,0,0,0,0,5,0
"439","bruid",0,0,0,0,0,0,0,0,0,2,0
"440","bruine",0,0,0,0,0,2,0,2,0,0,0
"441","btaatsfondscn",0,0,0,0,0,0,0,0,1,0,0
"442","btaatsleeniugen",0,0,0,0,0,0,0,0,1,0,0
"443","buersberigten",0,0,0,0,36,27,0,0,0,0,0
"444","buizen",0,0,0,0,0,0,0,0,2,4,0
"445","bureaux",0,0,0,0,0,0,0,0,0,2,0
"446","burgemeesters",0,0,0,0,0,0,0,0,0,0,5
"447","bv",0,0,0,0,0,0,0,9,0,0,0
"448","bvi",0,0,0,0,0,0,0,13,4,0,0
"449","bvs",0,0,0,0,0,0,0,2,0,0,0
"450","by",0,0,0,0,0,0,0,5,0,0,0
"451","candidaten",0,0,0,0,3,0,0,0,0,2,0
"452","censuur",0,0,0,0,0,0,2,0,1,0,0
"453","centra",0,0,0,0,0,0,0,0,2,4,7
"454","chemici",0,0,0,0,0,0,0,0,0,2,0
"455","chirurgen",0,0,0,0,0,0,0,0,0,2,0
"456","cider",0,0,0,0,0,0,0,0,2,0,0
"457","cijdingen",0,0,0,0,7,0,0,0,0,0,0
"458","circulatiebank",0,0,0,0,0,10,0,0,0,0,0
"459","circulatiebanken",0,0,0,0,0,4,0,0,0,0,0
"460","cirkulatiebank",0,0,0,0,0,2,0,0,0,0,0
"461","clubs",0,0,0,0,0,0,0,0,2,2,4
"462","collectie",0,0,0,0,0,0,0,0,0,2,0
"463","collega",0,0,0,0,0,0,0,0,0,0,2
"464","collegaas",0,0,0,0,0,0,0,2,0,0,0
"465","collegas",0,0,0,0,0,0,2,2,29,40,36
"466","collegien",0,0,0,0,0,0,2,0,0,0,0
