ngram,rs
ƒ37—,6
ƒ3b,24
ƒ3b—,11
ƒ42—,8
ƒ4b,10
ƒ4—,61
ƒ5—,55
ƒ6—,72
ƒ7—,80
ƒ9—,30
ƒb—,7
ƒs—,55
ƒ—,71
ƒ——,75
